"Maakunta";"Rikos";"Uhrin ikä";"Vuosi";"Tiedot";"Uhri mies";"Uhri nainen"
"KOKO MAA";"Paritus 20:9§1/1-5";"Yhteensä";"2020";"Uhrien lukumäärä";0;4
"KOKO MAA";"Törkeä paritus 20:9a§1/1-3";"Yhteensä";"2009";"Uhrien lukumäärä";0;0
"KOKO MAA";"Törkeä paritus 20:9a§1/1-3";"Yhteensä";"2010";"Uhrien lukumäärä";0;0
"KOKO MAA";"Törkeä paritus 20:9a§1/1-3";"Yhteensä";"2011";"Uhrien lukumäärä";0;0
"KOKO MAA";"Törkeä paritus 20:9a§1/1-3";"Yhteensä";"2012";"Uhrien lukumäärä";0;2
"KOKO MAA";"Törkeä paritus 20:9a§1/1-3";"Yhteensä";"2013";"Uhrien lukumäärä";0;1
"KOKO MAA";"Törkeä paritus 20:9a§1/1-3";"Yhteensä";"2014";"Uhrien lukumäärä";0;0
"KOKO MAA";"Törkeä paritus 20:9a§1/1-3";"Yhteensä";"2015";"Uhrien lukumäärä";0;1
"KOKO MAA";"Törkeä paritus 20:9a§1/1-3";"Yhteensä";"2016";"Uhrien lukumäärä";0;0
"KOKO MAA";"Törkeä paritus 20:9a§1/1-3";"Yhteensä";"2017";"Uhrien lukumäärä";0;0
"KOKO MAA";"Törkeä paritus 20:9a§1/1-3";"Yhteensä";"2018";"Uhrien lukumäärä";0;2
"KOKO MAA";"Törkeä paritus 20:9a§1/1-3";"Yhteensä";"2019";"Uhrien lukumäärä";0;3
"KOKO MAA";"Törkeä paritus 20:9a§1/1-3";"Yhteensä";"2020";"Uhrien lukumäärä";3;10
"KOKO MAA";"Pahoinpitely 21:5";"Yhteensä";"2009";"Uhrien lukumäärä";13773;7359
"KOKO MAA";"Pahoinpitely 21:5";"Yhteensä";"2010";"Uhrien lukumäärä";13850;7441
"KOKO MAA";"Pahoinpitely 21:5";"Yhteensä";"2011";"Uhrien lukumäärä";16285;9845
"KOKO MAA";"Pahoinpitely 21:5";"Yhteensä";"2012";"Uhrien lukumäärä";15167;9418
"KOKO MAA";"Pahoinpitely 21:5";"Yhteensä";"2013";"Uhrien lukumäärä";14286;9042
"KOKO MAA";"Pahoinpitely 21:5";"Yhteensä";"2014";"Uhrien lukumäärä";12803;8591
"KOKO MAA";"Pahoinpitely 21:5";"Yhteensä";"2015";"Uhrien lukumäärä";13346;8800
"KOKO MAA";"Pahoinpitely 21:5";"Yhteensä";"2016";"Uhrien lukumäärä";13265;8966
"KOKO MAA";"Pahoinpitely 21:5";"Yhteensä";"2017";"Uhrien lukumäärä";13575;8887
"KOKO MAA";"Pahoinpitely 21:5";"Yhteensä";"2018";"Uhrien lukumäärä";13435;9105
"KOKO MAA";"Pahoinpitely 21:5";"Yhteensä";"2019";"Uhrien lukumäärä";13771;9536
"KOKO MAA";"Pahoinpitely 21:5";"Yhteensä";"2020";"Uhrien lukumäärä";12922;9533
"KOKO MAA";"Törkeä pahoinpitely 21:6";"Yhteensä";"2009";"Uhrien lukumäärä";1698;434
"KOKO MAA";"Törkeä pahoinpitely 21:6";"Yhteensä";"2010";"Uhrien lukumäärä";1615;373
"KOKO MAA";"Törkeä pahoinpitely 21:6";"Yhteensä";"2011";"Uhrien lukumäärä";1638;421
"KOKO MAA";"Törkeä pahoinpitely 21:6";"Yhteensä";"2012";"Uhrien lukumäärä";1481;370
"KOKO MAA";"Törkeä pahoinpitely 21:6";"Yhteensä";"2013";"Uhrien lukumäärä";1410;373
"KOKO MAA";"Törkeä pahoinpitely 21:6";"Yhteensä";"2014";"Uhrien lukumäärä";1307;349
"KOKO MAA";"Törkeä pahoinpitely 21:6";"Yhteensä";"2015";"Uhrien lukumäärä";1194;361
"KOKO MAA";"Törkeä pahoinpitely 21:6";"Yhteensä";"2016";"Uhrien lukumäärä";1245;358
"KOKO MAA";"Törkeä pahoinpitely 21:6";"Yhteensä";"2017";"Uhrien lukumäärä";1219;388
"KOKO MAA";"Törkeä pahoinpitely 21:6";"Yhteensä";"2018";"Uhrien lukumäärä";1251;385
"KOKO MAA";"Törkeä pahoinpitely 21:6";"Yhteensä";"2019";"Uhrien lukumäärä";1200;414
"KOKO MAA";"Törkeä pahoinpitely 21:6";"Yhteensä";"2020";"Uhrien lukumäärä";1375;400
"KOKO MAA";"Ryöstö 31:1§1/1-2";"Yhteensä";"2009";"Uhrien lukumäärä";923;310
"KOKO MAA";"Ryöstö 31:1§1/1-2";"Yhteensä";"2010";"Uhrien lukumäärä";916;297
"KOKO MAA";"Ryöstö 31:1§1/1-2";"Yhteensä";"2011";"Uhrien lukumäärä";982;291
"KOKO MAA";"Ryöstö 31:1§1/1-2";"Yhteensä";"2012";"Uhrien lukumäärä";897;348
"KOKO MAA";"Ryöstö 31:1§1/1-2";"Yhteensä";"2013";"Uhrien lukumäärä";859;331
"KOKO MAA";"Ryöstö 31:1§1/1-2";"Yhteensä";"2014";"Uhrien lukumäärä";967;347
"KOKO MAA";"Ryöstö 31:1§1/1-2";"Yhteensä";"2015";"Uhrien lukumäärä";786;339
"KOKO MAA";"Ryöstö 31:1§1/1-2";"Yhteensä";"2016";"Uhrien lukumäärä";910;310
"KOKO MAA";"Ryöstö 31:1§1/1-2";"Yhteensä";"2017";"Uhrien lukumäärä";888;315
"KOKO MAA";"Ryöstö 31:1§1/1-2";"Yhteensä";"2018";"Uhrien lukumäärä";911;308
"KOKO MAA";"Ryöstö 31:1§1/1-2";"Yhteensä";"2019";"Uhrien lukumäärä";965;311
"KOKO MAA";"Ryöstö 31:1§1/1-2";"Yhteensä";"2020";"Uhrien lukumäärä";1042;342
"KOKO MAA";"Törkeä ryöstö 31:2§1/1-4";"Yhteensä";"2009";"Uhrien lukumäärä";119;81
"KOKO MAA";"Törkeä ryöstö 31:2§1/1-4";"Yhteensä";"2010";"Uhrien lukumäärä";76;75
"KOKO MAA";"Törkeä ryöstö 31:2§1/1-4";"Yhteensä";"2011";"Uhrien lukumäärä";101;91
"KOKO MAA";"Törkeä ryöstö 31:2§1/1-4";"Yhteensä";"2012";"Uhrien lukumäärä";120;85
"KOKO MAA";"Törkeä ryöstö 31:2§1/1-4";"Yhteensä";"2013";"Uhrien lukumäärä";118;79
"KOKO MAA";"Törkeä ryöstö 31:2§1/1-4";"Yhteensä";"2014";"Uhrien lukumäärä";128;71
"KOKO MAA";"Törkeä ryöstö 31:2§1/1-4";"Yhteensä";"2015";"Uhrien lukumäärä";161;93
"KOKO MAA";"Törkeä ryöstö 31:2§1/1-4";"Yhteensä";"2016";"Uhrien lukumäärä";160;88
"KOKO MAA";"Törkeä ryöstö 31:2§1/1-4";"Yhteensä";"2017";"Uhrien lukumäärä";183;89
"KOKO MAA";"Törkeä ryöstö 31:2§1/1-4";"Yhteensä";"2018";"Uhrien lukumäärä";206;77
"KOKO MAA";"Törkeä ryöstö 31:2§1/1-4";"Yhteensä";"2019";"Uhrien lukumäärä";245;87
"KOKO MAA";"Törkeä ryöstö 31:2§1/1-4";"Yhteensä";"2020";"Uhrien lukumäärä";317;88
